code,question,acceptance
"UE27
EU27",Question from sheet 'QB15_1',69.0
BE,Question from sheet 'QB15_1',77.0
BG,Question from sheet 'QB15_1',21.0
CZ,Question from sheet 'QB15_1',54.0
DK,Question from sheet 'QB15_1',92.0
EE,Question from sheet 'QB15_1',37.0
IE,Question from sheet 'QB15_1',84.0
GR,Question from sheet 'QB15_1',44.0
ES,Question from sheet 'QB15_1',87.0
FR,Question from sheet 'QB15_1',78.0
HR,Question from sheet 'QB15_1',35.0
IT,Question from sheet 'QB15_1',63.0
CY,Question from sheet 'QB15_1',45.0
LV,Question from sheet 'QB15_1',39.0
LT,Question from sheet 'QB15_1',29.0
LU,Question from sheet 'QB15_1',81.0
HU,Question from sheet 'QB15_1',44.0
MT,Question from sheet 'QB15_1',68.0
NL,Question from sheet 'QB15_1',95.0
AT,Question from sheet 'QB15_1',59.0
PL,Question from sheet 'QB15_1',41.0
PT,Question from sheet 'QB15_1',79.0
RO,Question from sheet 'QB15_1',27.0
SI,Question from sheet 'QB15_1',42.0
SK,Question from sheet 'QB15_1',35.0
FI,Question from sheet 'QB15_1',75.0
SE,Question from sheet 'QB15_1',94.0
DE,Question from sheet 'QB15_1',79.7
"UE27
EU27",Question from sheet 'QB15_2',74.0
BE,Question from sheet 'QB15_2',80.0
BG,Question from sheet 'QB15_2',21.0
CZ,Question from sheet 'QB15_2',70.0
DK,Question from sheet 'QB15_2',93.0
EE,Question from sheet 'QB15_2',51.0
IE,Question from sheet 'QB15_2',83.0
GR,Question from sheet 'QB15_2',57.0
ES,Question from sheet 'QB15_2',89.0
FR,Question from sheet 'QB15_2',84.0
HR,Question from sheet 'QB15_2',39.0
IT,Question from sheet 'QB15_2',71.0
CY,Question from sheet 'QB15_2',46.0
LV,Question from sheet 'QB15_2',35.0
LT,Question from sheet 'QB15_2',42.0
LU,Question from sheet 'QB15_2',86.0
HU,Question from sheet 'QB15_2',49.0
MT,Question from sheet 'QB15_2',78.0
NL,Question from sheet 'QB15_2',94.0
AT,Question from sheet 'QB15_2',66.0
PL,Question from sheet 'QB15_2',55.0
PT,Question from sheet 'QB15_2',73.0
RO,Question from sheet 'QB15_2',27.0
SI,Question from sheet 'QB15_2',58.0
SK,Question from sheet 'QB15_2',47.0
FI,Question from sheet 'QB15_2',82.0
SE,Question from sheet 'QB15_2',95.0
DE,Question from sheet 'QB15_2',82.0
"UE27
EU27",Question from sheet 'QB15_3',72.0
BE,Question from sheet 'QB15_3',79.0
BG,Question from sheet 'QB15_3',17.0
CZ,Question from sheet 'QB15_3',60.0
DK,Question from sheet 'QB15_3',93.0
EE,Question from sheet 'QB15_3',41.0
IE,Question from sheet 'QB15_3',86.0
GR,Question from sheet 'QB15_3',57.0
ES,Question from sheet 'QB15_3',88.0
FR,Question from sheet 'QB15_3',79.0
HR,Question from sheet 'QB15_3',42.0
IT,Question from sheet 'QB15_3',69.0
CY,Question from sheet 'QB15_3',50.0
LV,Question from sheet 'QB15_3',36.0
LT,Question from sheet 'QB15_3',39.0
LU,Question from sheet 'QB15_3',84.0
HU,Question from sheet 'QB15_3',42.0
MT,Question from sheet 'QB15_3',74.0
NL,Question from sheet 'QB15_3',94.0
AT,Question from sheet 'QB15_3',65.0
PL,Question from sheet 'QB15_3',50.0
PT,Question from sheet 'QB15_3',81.0
RO,Question from sheet 'QB15_3',25.0
SI,Question from sheet 'QB15_3',62.0
SK,Question from sheet 'QB15_3',37.0
FI,Question from sheet 'QB15_3',76.0
SE,Question from sheet 'QB15_3',94.0
DE,Question from sheet 'QB15_3',81.7
"UE27
EU27",Question from sheet 'QB15_4',64.0
BE,Question from sheet 'QB15_4',72.0
BG,Question from sheet 'QB15_4',21.0
CZ,Question from sheet 'QB15_4',43.0
DK,Question from sheet 'QB15_4',88.0
EE,Question from sheet 'QB15_4',34.0
IE,Question from sheet 'QB15_4',80.0
GR,Question from sheet 'QB15_4',42.0
ES,Question from sheet 'QB15_4',84.0
FR,Question from sheet 'QB15_4',70.0
HR,Question from sheet 'QB15_4',33.0
IT,Question from sheet 'QB15_4',60.0
CY,Question from sheet 'QB15_4',43.0
LV,Question from sheet 'QB15_4',36.0
LT,Question from sheet 'QB15_4',28.0
LU,Question from sheet 'QB15_4',73.0
HU,Question from sheet 'QB15_4',42.0
MT,Question from sheet 'QB15_4',65.0
NL,Question from sheet 'QB15_4',91.0
AT,Question from sheet 'QB15_4',58.0
PL,Question from sheet 'QB15_4',38.0
PT,Question from sheet 'QB15_4',78.0
RO,Question from sheet 'QB15_4',27.0
SI,Question from sheet 'QB15_4',40.0
SK,Question from sheet 'QB15_4',31.0
FI,Question from sheet 'QB15_4',71.0
SE,Question from sheet 'QB15_4',91.0
DE,Question from sheet 'QB15_4',72.7
